Kanji	Compound	Reading
一	一人	ひとり
一	一日	ついたち
七	七夕	たなばた
三	三味線	しゃみせん
上	上手	じょうず
下	下手	へた
乙	乙女	おとめ
乳	乳母	うば
二	二人	ふたり
二	二十	はたち
二	二十日	はつか
二	二十歳	はたち
二	二日	ふつか
二	十重二十重	とえはたえ
五	五月	さつき
五	五月雨	さみだれ
人	一人	ひとり
人	二人	ふたり
人	仲人	なこうど
人	大人	おとな
人	玄人	くろうと
人	素人	しろうと
人	若人	わこうど
今	今年	ことし
今	今日	きょう
今	今朝	けさ
仮	仮名	かな
仲	仲人	なこうど
伝	伝馬船	てんません
伝	手伝う	てつだう
伯	伯母	おば
伯	伯父	おじ
兄	兄さん	にいさん
児	稚児	ちご
八	八百屋	やおや
八	八百長	やおちょう
冶	鍛冶	かじ
凸	凸凹	でこぼこ
凹	凸凹	でこぼこ
刀	太刀	たち
刀	竹刀	しない
利	砂利	じゃり
十	二十	はたち
十	二十日	はつか
十	二十歳	はたち
十	十重二十重	とえはたえ
博	博士	はかせ
原	川原	かわら
原	河原	かわら
原	海原	うなばら
友	友達	ともだち
叔	叔母	おば
叔	叔父	おじ
名	仮名	かな
名	名残	なごり
吹	吹雪	ふぶき
吹	息吹	いぶき
味	三味線	しゃみせん
和	大和	やまと
和	日和	ひより
唾	固唾	かたず
固	固唾	かたず
土	土産	みやげ
地	心地	ここち
地	意気地	いくじ
士	博士	はかせ
士	居士	こじ
士	海士	あま
夕	七夕	たなばた
大	大人	おとな
大	大和	やまと
太	太刀	たち
奇	数奇屋	すきや
女	乙女	おとめ
女	海女	あま
姉	姉さん	ねえさん
子	息子	むすこ
子	迷子	まいご
家	母家	おもや
寄	寄席	よせ
寄	数寄屋	すきや
寄	最寄り	もより
小	小豆	あずき
尻	尻尾	しっぽ
尾	尻尾	しっぽ
居	居士	こじ
屋	母屋	おもや
屋	部屋	へや
履	草履	ぞうり
山	山車	だし
山	築山	つきやま
岸	河岸	かし
崩	雪崩	なだれ
川	川原	かわら
巡	お巡りさん	おまわりさん
差	差し支える	さしつかえる
師	師走	しわす
席	寄席	よせ
帳	蚊帳	かや
年	今年	ことし
弥	弥生	やよい
心	心地	ここち
息	息吹	いぶき
息	息子	むすこ
意	意気地	いくじ
手	上手	じょうず
手	下手	へた
手	手伝う	てつだう
投	投網	とあみ
撲	相撲	すもう
支	差し支える	さしつかえる
数	数奇屋	すきや
数	数寄屋	すきや
数	数珠	じゅず
敷	桟敷	さじき
方	行方	ゆくえ
日	一日	ついたち
日	二十日	はつか
日	二日	ふつか
日	今日	きょう
日	日和	ひより
日	明日	あす
日	昨日	きのう
早	早乙女	さおとめ
早	早苗	さなえ
明	明日	あす
昨	昨日	きのう
時	時計	とけい
時	時雨	しぐれ
景	景色	けしき
替	為替	かわせ
最	最寄り	もより
月	五月	さつき
月	五月雨	さみだれ
朝	今朝	けさ
木	木綿	もめん
果	果物	くだもの
桟	桟敷	さじき
梅	梅雨	つゆ
楽	神楽	かぐら
止	波止場	はとば
歳	二十歳	はたち
残	名残	なごり
母	乳母	うば
母	伯母	おば
母	叔母	おば
母	母さん	かあさん
母	母家	おもや
母	母屋	おもや
気	意気地	いくじ
気	浮気	うわき
水	清水	しみず
河	河原	かわら
河	河岸	かし
波	波止場	はとば
浮	浮つく	うわつく
浮	浮気	うわき
浴	浴衣	ゆかた
海	海原	うなばら
海	海士	あま
海	海女	あま
清	清水	しみず
為	為替	かわせ
父	伯父	おじ
父	叔父	おじ
父	父さん	とうさん
物	果物	くだもの
猛	猛者	もさ
玄	玄人	くろうと
珠	数珠	じゅず
生	弥生	やよい
生	芝生	しばふ
産	土産	みやげ
田	田舎	いなか
白	白髪	しらが
百	八百屋	やおや
百	八百長	やおちょう
目	真面目	まじめ
相	相撲	すもう
真	真っ赤	まっか
真	真っ青	まっさお
真	真面目	まじめ
眼	眼鏡	めがね
砂	砂利	じゃり
硫	硫黄	いおう
祝	祝詞	のりと
神	お神酒	おみき
神	神楽	かぐら
稚	稚児	ちご
立	立ち退く	たちのく
竹	竹刀	しない
笑	笑顔	えがお
築	築山	つきやま
紅	紅葉	もみじ
素	素人	しろうと
経	読経	どきょう
網	投網	とあみ
綿	木綿	もめん
老	老舗	しにせ
者	猛者	もさ
舎	田舎	いなか
舗	老舗	しにせ
良	野良	のら
色	景色	けしき
芝	芝生	しばふ
苗	早苗	さなえ
若	若人	わこうど
草	草履	ぞうり
葉	紅葉	もみじ
蚊	蚊帳	かや
行	行方	ゆくえ
衣	浴衣	ゆかた
袋	足袋	たび
計	時計	とけい
詞	祝詞	のりと
読	読経	どきょう
豆	小豆	あずき
赤	真っ赤	まっか
走	師走	しわす
足	足袋	たび
車	山車	だし
迷	迷子	まいご
退	立ち退く	たちのく
達	友達	ともだち
邪	風邪	かぜ
部	部屋	へや
酒	お神酒	おみき
重	十重二十重	とえはたえ
野	野良	のら
鍛	鍛冶	かじ
鏡	眼鏡	めがね
雑	雑魚	ざこ
雨	五月雨	さみだれ
雨	時雨	しぐれ
雨	梅雨	つゆ
雪	吹雪	ふぶき
雪	雪崩	なだれ
青	真っ青	まっさお
面	真面目	まじめ
顔	笑顔	えがお
風	風邪	かぜ
馬	伝馬船	てんません
髪	白髪	しらが
魚	雑魚	ざこ
黄	硫黄	いおう
