Kanji	Reading	Uncommon reading?	Variation of	Example	POS of example
亜	ア			亜流	
亜	ア			亜麻	
亜	ア			亜熱帯	
哀	アイ			哀愁	
哀	アイ			哀願	
哀	アイ			悲哀	
哀	あわ.れ			哀れ	
哀	あわ.れ			哀れな話	
哀	あわ.れ			哀れがる	
哀	あわ.れむ			哀れむ	
哀	あわ.れむ			哀れみ	
挨	アイ			挨拶	
愛	アイ			愛情	
愛	アイ			愛読	
愛	アイ			恋愛	
曖	アイ			曖昧	
悪	アク			悪事	
悪	アク			悪意	
悪	アク			醜悪	
悪	オ			悪寒	
悪	オ			好悪	
悪	オ			憎悪	
悪	わる.い			悪い	
悪	わる.い			悪さ	
悪	わる.い			悪者	
握	アク			握手	
握	アク			握力	
握	アク			掌握	
握	にぎ.る			握る	
握	にぎ.る			握り	
握	にぎ.る			一握り	
圧	アツ			圧力	
圧	アツ			圧迫	
圧	アツ			気圧	
扱	あつか.う			扱う	
扱	あつか.う			扱い	
扱	あつか.う			客扱い	
宛	あて.る			宛先	
宛	あ.てる			宛てる	
嵐	あらし			嵐	
嵐	あらし			砂嵐	
安	アン			安全	
安	アン			安価	
安	アン			不安	
安	やす.い			安い	
安	やす.い			安らかだ	
案	アン			案文	
案	アン			案内	
案	アン			新案	
暗	アン			暗示	
暗	アン			暗愚	
暗	アン			明暗	
暗	くら.い			暗い	
暗	くら.い			暗がり	
以	イ			以上	
以	イ			以内	
以	イ			以後	
衣	イ			衣服	
衣	イ			衣食住	
衣	イ			作業衣	
衣	ころも			衣	
衣	ころも			羽衣	
位	イ			位置	
位	イ			第一位	
位	イ			各位	
位	くらい			位	
位	くらい			位取り	
位	くらい			位する	
位	ミ		イ	三位一体	
位	ミ		イ	従三位	
囲	イ			囲碁	
囲	イ			包囲	
囲	イ			範囲	
囲	かこ.む			囲む	
囲	かこ.む			囲み	
囲	かこ.う			囲う	
囲	かこ.う			囲い	
医	イ			医学	
医	イ			医療	
医	イ			名医	
依	イ			依頼	
依	イ			依拠	
依	イ			依然	
依	エ	Y		帰依	
委	イ			委任	
委	イ			委員	
委	イ			委細	
委	ゆだ.ねる			委ねる	
威	イ			威力	
威	イ			威圧	
威	イ			示威	
為	イ			為政者	
為	イ			行為	
為	イ			作為	
畏	イ			畏敬	
畏	イ			畏怖	
畏	おそ.れる			畏れる	
畏	おそ.れる			畏れ	
胃	イ			胃腸	
胃	イ			胃酸	
胃	イ			胃弱	
尉	イ			尉官	
尉	イ			一尉	
尉	イ			大尉	
異	イ			異論	
異	イ			異同	
異	イ			奇異	
異	こと			異にする	
異	こと			異なる	
移	イ			移転	
移	イ			移民	
移	イ			推移	
移	うつ.る			移る	
移	うつ.る			移り変わり	
移	うつ.す			移す	
萎	イ			萎縮	
萎	な.える			萎える	
偉	イ			偉大	
偉	イ			偉人	
偉	イ			偉観	
偉	えら.い			偉い	
偉	えら.い			偉ぶる	
椅	イ			椅子	
彙	イ			語彙	
意	イ			意見	
意	イ			意味	
意	イ			決意	
違	イ			違反	
違	イ			違法	
違	イ			相違	
違	ちが.う			違う	
違	ちが.う			違い	
違	ちが.う			間違う	
違	ちが.える			違える	
違	ちが.える			見違える	
違	ちが.える			間違える	
維	イ			維持	
維	イ			維新	
維	イ			繊維	
慰	イ			慰安	
慰	イ			慰問	
慰	イ			慰労	
慰	なぐさ.める			慰める	
慰	なぐさ.める			慰め	
慰	なぐさ.む			慰む	
慰	なぐさ.む			慰み	
遺	イ			遺棄	
遺	イ			遺産	
遺	イ			遺失	
遺	ユイ	Y		遺言	
緯	イ			緯度	
緯	イ			北緯	
緯	イ			経緯	
域	イキ			域内	
域	イキ			地域	
域	イキ			区域	
育	イク			育児	
育	イク			教育	
育	イク			発育	
育	そだ.つ			育つ	
育	そだ.つ			育ち	
育	そだ.てる			育てる	
育	そだ.てる			育て親	
育	はぐく.む			育む	
一	イチ			一度	
一	イチ			一座	
一	イチ			第一	
一	イツ			一般	
一	イツ			同一	
一	イツ			統一	
一	ひと			一息	
一	ひと			一筋	
一	ひと			一月目	
一	ひと.つ			一つ	
壱	イチ			壱万円	
逸	イツ			逸話	
逸	イツ			逸品	
逸	イツ			逸する	
茨	いばら	Y		茨城県	
芋	いも			芋	
芋	いも			里芋	
芋	いも			焼き芋	
引	イン			引力	
引	イン			引退	
引	イン			索引	
引	ひ.く			引く	
引	ひ.く			字引	
引	ひ.ける			引ける	
印	イン			印刷	
印	イン			印象	
印	イン			調印	
印	しるし			印	
印	しるし			目印	
印	しるし			矢印	
因	イン			因果	
因	イン			原因	
因	イン			要因	
因	よ.る			因る	
因	よ.る			に因る	Suffix
咽	イン			咽喉	
姻	イン			姻族	
姻	イン			婚姻	
員	イン			満員	
員	イン			定員	
員	イン			社員	
院	イン			院内	
院	イン			議院	
院	イン			病院	
淫	イン			淫行	
淫	イン			淫乱	
淫	みだ.ら			淫らだ	
陰	イン			陰気	
陰	イン			陰性	
陰	イン			光陰	
陰	かげ			陰	
陰	かげ			日陰	
陰	かげ.る			陰る	
陰	かげ.る			陰り	
飲	イン			飲料	
飲	イン			飲食	
飲	イン			痛飲	
飲	の.む			飲む	
