Kanji	Codepoint	Old	Old codepoint	Popular	Popular codepoint	Standard variation sequence	Standard variation sequence codepoint	Acceptable variation sequence	Acceptable variation sequence codepoint	Documentation
亜	4e9c	亞	4e9e							
悪	60aa	惡	60e1							
圧	5727	壓	58d3							
囲	56f2	圍	570d							
医	533b	醫	91ab							
為	70ba	爲	7232							
彙	5f59									（付）第２の３【剝】
壱	58f1	壹	58f9							
逸	9038	逸	fa67							
淫	6deb									（付）第２の３
隠	96a0	隱	96b1							
栄	6804	榮	69ae							
営	55b6	營	71df							
衛	885b	衞	885e							
駅	99c5	驛	9a5b							
謁	8b01	謁	fa62							
円	5186	圓	5713							
塩	5869	鹽	9e7d							
縁	7e01	緣	7de3							
艶	8276	艷	8277							
応	5fdc	應	61c9							
欧	6b27	歐	6b50							
殴	6bb4	毆	6bc6							
桜	685c	櫻	6afb							
奥	5965	奧	5967							
横	6a2a	橫	6a6b							
温	6e29	溫	6eab							
穏	7a4f	穩	7a69							
仮	4eee	假	5047							
価	4fa1	價	50f9							
禍	798d	禍	fa52							
画	753b	畫	756b							
会	4f1a	會	6703							
悔	6094	悔	fa3d							
海	6d77	海	fa45							
絵	7d75	繪	7e6a							
壊	58ca	壞	58de							
懐	61d0	懷	61f7							
慨	6168	慨	fa3e							
概	6982	槪	69ea							
拡	62e1	擴	64f4							
殻	6bbb	殼	6bbc							
覚	899a	覺	89ba							
学	5b66	學	5b78							
岳	5cb3	嶽	5dbd							
楽	697d	樂	6a02							
喝	559d	喝	fa36							
渇	6e07	渴	6e34							
葛	845b									（付）第２の３
褐	8910	褐	fa60							
缶	7f36	罐	7f50							
巻	5dfb	卷	5377							
陥	9665	陷	9677							
勧	52e7	勸	52f8							
寛	5bdb	寬	5bec							
漢	6f22	漢	fa47							
関	95a2	關	95dc							
歓	6b53	歡	6b61							
観	89b3	觀	89c0							
気	6c17	氣	6c23							
祈	7948	祈	fa4e							
既	65e2	既	fa42							
帰	5e30	歸	6b78							
亀	4e80	龜	9f9c							
器	5668	器	fa38							
偽	507d	僞	50de							
戯	622f	戲	6232							
犠	72a0	犧	72a7							
旧	65e7	舊	820a							
嗅	55c5									（付）第２の３
拠	62e0	據	64da							
挙	6319	擧	64e7							
虚	865a	虛	865b							
峡	5ce1	峽	5cfd							
挟	631f	挾	633e							
狭	72ed	狹	72f9							
郷	90f7	鄕	9115							
響	97ff	響	fa69							
暁	6681	曉	66c9							
勤	52e4	勤	fa34							
僅	50c5									（付）第２の３
謹	8b39	謹	fa63							
区	533a	區	5340							
駆	99c6	驅	9a45							
惧	60e7									（付）第２の３
勲	52f2	勳	52f3							
薫	85ab	薰	85b0							
径	5f84	徑	5f91							
茎	830e	莖	8396							
恵	6075	惠	60e0							
掲	63b2	揭	63ed							
渓	6e13	溪	6eaa							
経	7d4c	經	7d93							
蛍	86cd	螢	87a2							
軽	8efd	輕	8f15							
継	7d99	繼	7e7c							
稽	7a3d									（付）第２の３
鶏	9d8f	鷄	9dc4							
芸	82b8	藝	85dd							
撃	6483	擊	64ca							
欠	6b20	缺	7f3a							
研	7814	硏	784f							
県	770c	縣	7e23							
倹	5039	儉	5109							
剣	5263	劍	528d							
険	967a	險	96aa							
圏	570f	圈	5708							
検	691c	檢	6aa2							
献	732e	獻	737b							
権	6a29	權	6b0a							
顕	9855	顯	986f							
験	9a13	驗	9a57							
厳	53b3	嚴	56b4							
広	5e83	廣	5ee3							
効	52b9	效	6548							
恒	6052	恆	6046							
黄	9ec4	黃	9ec3							
鉱	9271	鑛	945b							
号	53f7	號	865f							
国	56fd	國	570b							
黒	9ed2	黑	9ed1							
穀	7a40	穀	fa54							
砕	7815	碎	788e							
済	6e08	濟	6fdf							
斎	658e	齋	9f4b							
剤	5264	劑	5291							
殺	6bba	殺	f970							
雑	96d1	雜	96dc							
参	53c2	參	53c3							
桟	685f	棧	68e7							
蚕	8695	蠶	8836							
惨	60e8	慘	6158							
賛	8cdb	贊	8d0a							
残	6b8b	殘	6b98							
糸	7cf8	絲	7d72							
祉	7949	祉	fa4d							
恣	6063									（付）第２の３
視	8996	視	fa61							
歯	6b6f	齒	9f52							
児	5150	兒	5152							
辞	8f9e	辭	8fad							
餌	990c					餌󠄃	990c,e0103	餌󠄀	990c,e0100	（付）第２の３
𠮟	20b9f			叱	53f1					
湿	6e7f	濕	6fd5							
実	5b9f	實	5be6							
写	5199	寫	5beb							
社	793e	社	fa4c							
者	8005	者	fa5b							
煮	716e	煮	fa48							
釈	91c8	釋	91cb							
寿	5bff	壽	58fd							
収	53ce	收	6536							
臭	81ed	臭	fa5c							
従	5f93	從	5f9e							
渋	6e0b	澁	6f81							
獣	7363	獸	7378							
縦	7e26	縱	7e31							
祝	795d	祝	fa51							
粛	7c9b	肅	8085							
処	51e6	處	8655							
暑	6691	暑	fa43							
署	7f72	署	fa5a							
緒	7dd2	緖	7dd6							
諸	8af8	諸	fa22							
叙	53d9	敍	654d							
将	5c06	將	5c07							
祥	7965	祥	fa1a							
称	79f0	稱	7a31							
渉	6e09	涉	6d89							
焼	713c	燒	71d2							
証	8a3c	證	8b49							
奨	5968	奬	596c							
条	6761	條	689d							
状	72b6	狀	72c0							
乗	4e57	乘	4e58							
浄	6d44	淨	6de8							
剰	5270	剩	5269							
畳	7573	疊	758a							
縄	7e04	繩	7e69							
壌	58cc	壤	58e4							
嬢	5b22	孃	5b43							
譲	8b72	讓	8b93							
醸	91b8	釀	91c0							
触	89e6	觸	89f8							
嘱	5631	囑	56d1							
神	795e	神	fa19							
真	771f	眞	771e							
寝	5bdd	寢	5be2							
慎	614e	愼	613c							
尽	5c3d	盡	76e1							
図	56f3	圖	5716							
粋	7c8b	粹	7cb9							
酔	9154	醉	9189							
穂	7a42	穗	7a57							
随	968f	隨	96a8							
髄	9ac4	髓	9ad3							
枢	67a2	樞	6a1e							
数	6570	數	6578							
瀬	702c	瀨	7028							
声	58f0	聲	8072							
斉	6589	齊	9f4a							
静	9759	靜	975c							
窃	7a83	竊	7aca							
摂	6442	攝	651d							
節	7bc0	節	fa56							
専	5c02	專	5c08							
浅	6d45	淺	6dfa							
戦	6226	戰	6230							
煎	714e									（付）第２の３
詮	8a6e									（付）第２の３
践	8df5	踐	8e10							
箋	7b8b									（付）第２の３
銭	92ad	錢	9322							
潜	6f5c	潛	6f5b							
繊	7e4a	纖	7e96							
禅	7985	禪	79aa							
祖	7956	祖	fa50							
遡	9061					遡󠄁	9061,e0101	遡󠄀	9061,e0100	（付）第２の１
双	53cc	雙	96d9							
壮	58ee	壯	58ef							
争	4e89	爭	722d							
荘	8358	莊	838a							
捜	635c	搜	641c							
挿	633f	插	63d2							
巣	5de3	巢	5de2							
曽	66fd	曾	66fe							
痩	75e9	瘦	7626							
装	88c5	裝	88dd							
僧	50e7	僧	fa31							
層	5c64	層	fa3b							
総	7dcf	總	7e3d							
騒	9a12	騷	9a37							
増	5897	增	589e							
憎	618e	憎	fa3f							
蔵	8535	藏	85cf							
贈	8d08	贈	fa65							
臓	81d3	臟	81df							
即	5373	卽	537d							
属	5c5e	屬	5c6c							
続	7d9a	續	7e8c							
遜	905c					遜󠄁	905c,e0101	遜󠄀	905c,e0100	（付）第２の１
堕	5815	墮	58ae							
対	5bfe	對	5c0d							
体	4f53	體	9ad4							
帯	5e2f	帶	5e36							
滞	6ede	滯	6eef							
台	53f0	臺	81fa							
滝	6edd	瀧	7027							
択	629e	擇	64c7							
沢	6ca2	澤	6fa4							
担	62c5	擔	64d4							
単	5358	單	55ae							
胆	80c6	膽	81bd							
嘆	5606	嘆	fa37							
団	56e3	團	5718							
断	65ad	斷	65b7							
弾	5f3e	彈	5f48							
遅	9045	遲	9072							
痴	75f4	癡	7661							
虫	866b	蟲	87f2							
昼	663c	晝	665d							
鋳	92f3	鑄	9444							
著	8457	著	fa5f							
庁	5e81	廳	5ef3							
徴	5fb4	徵	5fb5							
嘲	5632									（付）第２の３
聴	8074	聽	807d							
懲	61f2	懲	fa40							
勅	52c5	敕	6555							
捗	6357									（付）第２の３
鎮	93ae	鎭	93ad							
塚	585a	塚	fa10							
逓	9013	遞	905e							
溺	6eba									（付）第２の３
鉄	9244	鐵	9435							
点	70b9	點	9ede							
転	8ee2	轉	8f49							
塡	5861			填	586b					（付）第２の３
伝	4f1d	傳	50b3							
都	90fd	都	fa26							
賭	8ced									（付）第２の３
灯	706f	燈	71c8							
当	5f53	當	7576							
党	515a	黨	9ee8							
盗	76d7	盜	76dc							
稲	7a32	稻	7a3b							
闘	95d8	鬭	9b2d							
徳	5fb3	德	5fb7							
独	72ec	獨	7368							
読	8aad	讀	8b80							
突	7a81	突	fa55							
届	5c4a	屆	5c46							
謎	8b0e					謎󠄁	8b0e,e0101	謎󠄀	8b0e,e0100	（付）第２の１
難	96e3	難	fa68							
弐	5f10	貳	8cb3							
悩	60a9	惱	60f1							
脳	8133	腦	8166							
覇	8987	霸	9738							
拝	62dd	拜	62dc							
廃	5ec3	廢	5ee2							
売	58f2	賣	8ce3							
梅	6885	梅	fa44							
剝	525d			剥	5265					（付）第２の３
麦	9ea6	麥	9ea5							
箸	7bb8									（付）第２の３【賭】
発	767a	發	767c							
髪	9aea	髮	9aee							
抜	629c	拔	62d4							
繁	7e41	繁	fa59							
晩	6669	晚	665a							
蛮	86ee	蠻	883b							
卑	5351	卑	fa35							
秘	79d8	祕	7955							
碑	7891	碑	fa4b							
浜	6d5c	濱	6ff1							
賓	8cd3	賓	fa64							
頻	983b	頻	fa6a							
敏	654f	敏	fa41							
瓶	74f6	甁	7501							
侮	4fae	侮	fa30							
福	798f	福	fa1b							
払	6255	拂	62c2							
仏	4ecf	佛	4f5b							
併	4f75	倂	5002							
並	4e26	竝	7add							
塀	5840	塀	fa39							
