Kanji	Note
愛	愛媛（えひめ）県
衣	浴衣（ゆかた）
為	為替（かわせ）
彙	（付）第２の３【剝】
意	意気地（いくじ）
一	一日（ついたち）
一	一人（ひとり）
淫	（付）第２の３
雨	五月雨（さみだれ）
雨	時雨（しぐれ）
雨	梅雨（つゆ）
媛	愛媛（えひめ）県
凹	凸凹（でこぼこ）
屋	母屋（おもや）
屋	部屋（へや）
乙	乙女（おとめ）
下	下手（へた）
仮	仮名（かな）
果	果物（くだもの）
河	河岸（かし）
河	河原（かわら）
家	母家（おもや）
蚊	蚊帳（かや）
海	海女・海士（あま）
海	海原（うなばら）
楽	神楽（かぐら）
葛	（付）第２の３
岸	河岸（かし）
眼	眼鏡（めがね）
顔	笑顔（えがお）
気	意気地（いくじ）
気	浮気（うわき）
岐	岐阜（ぎふ）県
奇	数奇屋（すきや）
寄	数寄屋（すきや）
寄	最寄り（もより）
寄	寄席（よせ）
嗅	（付）第２の３
居	居士（こじ）
魚	雑魚（ざこ）
鏡	眼鏡（めがね）
僅	（付）第２の３
惧	（付）第２の３
兄	兄（にい）さん
計	時計（とけい）
経	読経（どきょう）
景	景色（けしき）
稽	（付）第２の３
月	五月（さつき）
月	五月雨（さみだれ）
玄	玄人（くろうと）
原	海原（うなばら）
原	河原・川原（かわら）
固	固唾（かたず）
五	五月（さつき）
五	五月雨（さみだれ）
行	行方（ゆくえ）
紅	紅葉（もみじ）
黄	硫黄（いおう）
今	今日（きょう）
今	今朝（けさ）
今	今年（ことし）
砂	砂利（じゃり）
差	差し支える（さしつかえる）
最	最寄り（もより）
歳	二十歳（はたち）
昨	昨日（きのう）
雑	雑魚（ざこ）
三	三味線（しゃみせん）
山	山車（だし）
山	築山（つきやま）
桟	桟敷（さじき）
産	土産（みやげ）
残	名残（なごり）
士	海士（あま）
士	居士（こじ）
士	博士（はかせ）
子	迷子（まいご）
子	息子（むすこ）
支	差し支える（さしつかえる）
止	波止場（はとば）
姉	姉（ねえ）さん
師	師走（しわす）
恣	（付）第２の３
詞	祝詞（のりと）
児	稚児（ちご）
児	鹿児島（かごしま）県
時	時雨（しぐれ）
時	時計（とけい）
滋	滋賀（しが）県
餌	［餌］＝許容字体，（付）第２の３
七	七夕（たなばた）
芝	芝生（しばふ）
車	山車（だし）
舎	田舎（いなか）
者	猛者（もさ）
邪	風邪（かぜ）
若	若人（わこうど）
手	上手（じょうず）
手	下手（へた）
手	手伝（てつだ）う
珠	数珠（じゅず）
酒	お神酒（みき）
十	十重二十重（とえはたえ）
十	二十・二十歳（はたち）
十	二十日（はつか）
重	十重二十重（とえはたえ）
叔	叔父（おじ）
叔	叔母（おば）
祝	祝詞（のりと）
巡	お巡（まわ）りさん
女	海女（あま）
女	乙女（おとめ）
小	小豆（あずき）
笑	笑顔（えがお）
上	上手（じょうず）
城	茨城（いばらき）県，宮城（みやぎ）県
色	景色（けしき）
尻	尻尾（しっぽ）
心	心地（ここち）
神	お神酒（みき）
神	神楽（かぐら）
神	神奈川（かながわ）県
真	真面目（まじめ）
真	真っ赤（まっか）
真	真っ青（まっさお）
人	玄人（くろうと）
人	素人（しろうと）
人	仲人（なこうど）
人	若人（わこうど）
人	大人（おとな）
人	一人（ひとり）
人	二人（ふたり）
水	清水（しみず）
吹	息吹（いぶき）
吹	吹雪（ふぶき）
数	数珠（じゅず）
数	数寄屋・数奇屋（すきや）
生	芝生（しばふ）
生	弥生（やよい）
青	真っ青（まっさお）
清	清水（しみず）
夕	七夕（たなばた）
赤	真っ赤（まっか）
席	寄席（よせ）
雪	雪崩（なだれ）
雪	吹雪（ふぶき）
川	川原（かわら）
煎	（付）第２の３
詮	（付）第２の３
箋	（付）第２の３
素	素人（しろうと）
遡	［遡］＝許容字体，（付）第２の１
早	早乙女（さおとめ）
早	早苗（さなえ）
走	師走（しわす）
相	相撲（すもう）
草	草履（ぞうり）
足	足袋（たび）
息	息吹（いぶき）
息	息子（むすこ）
遜	［遜］＝許容字体，（付）第２の１
唾	固唾（かたず）
太	太刀（たち）
退	立ち退く（たちのく）
袋	足袋（たび）
替	為替（かわせ）
大	大人（おとな）
大	大和（やまと）
達	友達（ともだち）
鍛	鍛冶（かじ）
地	心地（ここち）
地	意気地（いくじ）
稚	稚児（ちご）
竹	竹刀（しない）
築	築山（つきやま）
仲	仲人（なこうど）
帳	蚊帳（かや）
鳥	鳥取（とっとり）県
朝	今朝（けさ）
嘲	（付）第２の３
捗	（付）第２の３
溺	（付）第２の３
填	（付）第２の３
田	田舎（いなか）
伝	伝馬船（てんません）
伝	手伝（てつだ）う
賭	（付）第２の３
土	土産（みやげ）
刀	太刀（たち）
刀	竹刀（しない）
投	投網（とあみ）
豆	小豆（あずき）
読	読経（どきょう）
凸	凸凹（でこぼこ）
謎	［謎］＝許容字体，（付）第２の１
二	十重二十重（とえはたえ）
二	二十・二十歳（はたち）
二	二十日（はつか）
二	二人（ふたり）
二	二日（ふつか）
日	明日（あす）
日	昨日（きのう）
日	今日（きょう）
日	一日（ついたち）
日	二十日（はつか）
日	日和（ひより）
日	二日（ふつか）
乳	乳母（うば）
年	今年（ことし）
波	波止場（はとば）
馬	伝馬船（てんません）
梅	梅雨（つゆ）
白	白髪（しらが）
伯	伯父（おじ）
伯	伯母（おば）
剥	（付）第２の３
博	博士（はかせ）
箸	（付）第２の３【賭】
八	八百屋（やおや）
八	八百長（やおちょう）
髪	白髪（しらが）
阪	大阪（おおさか）府
尾	尻尾（しっぽ）
百	八百屋（やおや）
百	八百長（やおちょう）
苗	早苗（さなえ）
父	叔父・伯父（おじ）
父	父（とう）さん
浮	浮気（うわき）
浮	浮（うわ）つく
富	富山（とやま）県
敷	桟敷（さじき）
部	部屋（へや）
風	風邪（かぜ）
物	果物（くだもの）
分	大分（おおいた）県
蔽	（付）第２の３
餅	［餅］＝許容字体，（付）第２の３【餌】
舗	老舗（しにせ）
母	乳母（うば）
母	叔母・伯母（おば）
母	母屋・母家（おもや）
母	母（かあ）さん
方	行方（ゆくえ）
崩	雪崩（なだれ）
頬	（付）第２の３
木	木綿（もめん）
撲	相撲（すもう）
味	三味線（しゃみせん）
名	仮名（かな）
名	名残（なごり）
明	明日（あす）
迷	迷子（まいご）
面	真面目（まじめ）
綿	木綿（もめん）
猛	猛者（もさ）
網	投網（とあみ）
目	真面目（まじめ）
冶	鍛冶（かじ）
野	野良（のら）
弥	弥生（やよい）
喩	（付）第２の３
友	友達（ともだち）
葉	紅葉（もみじ）
浴	浴衣（ゆかた）
利	砂利（じゃり）
履	草履（ぞうり）
立	立ち退く（たちのく）
硫	硫黄（いおう）
良	野良（のら）
良	奈良（なら）県
老	老舗（しにせ）
和	日和（ひより）
和	大和（やまと）
