Kanji	Reading	Uncommon?	Note
宛	あ.てる		⇔ 当てる，充てる
位	イ		「三位一体」，「従三位」は，「サンミイッタイ」，「ジュサンミ」。
畏	おそ.れる		⇔ 恐れる
遺	ユイ	Y	「遺言」は，「イゴン」とも。
引	ひ.く		⇔ 弾く
陰	かげ		⇔ 影
羽	は		「羽（は）」は，前に来る音によって「わ」，「ば」，「ぱ」になる。
雨	あま	Y	「春雨」，「小雨」，「霧雨」などは，「はるさめ」，「こさめ」，「きりさめ」。
唄	うた	Y	⇔ 歌
永	なが.い		⇔ 長い
映	うつ.る		⇔ 写る
映	うつ.す		⇔ 写す
映	は.える		⇔ 栄える
栄	は.え		⇔ 映え
栄	は.える		⇔ 映える
詠	よ.む		⇔ 読む
影	かげ		⇔ 陰
越	こ.す		⇔ 超す
越	こ.える		⇔ 超える
円	まる.い		⇔ 丸い
延	の.びる		⇔ 伸びる
延	の.べる		⇔ 伸べる
延	の.ばす		⇔ 伸ばす
沿	そ.う		⇔ 添う
縁	エン		「因縁」は，「インネン」。
王	オウ		「親王」，「勤王」などは，「シンノウ」，「キンノウ」。
応	オウ		「反応」，「順応」などは，「ハンノウ」，「ジュンノウ」。
応	こた.える		⇔ 答える
押	お.す		⇔ 推す
押	お.さえる		⇔ 抑える
奥	オウ		「奥義」は，「おくギ」とも。
屋	や		⇔ 家
臆	オク		「臆説」，「臆測」は，「憶説」，「憶測」とも書く。
卸	おろ.す		⇔ 下ろす，降ろす
音	オン		「観音」は，「カンノン」。
温	あたた.か		⇔ 暖か
温	あたた.かい		⇔ 暖かい
温	あたた.まる		⇔ 暖まる
温	あたた.める		⇔ 暖める
穏	オン		「安穏」は，「アンノン」。
下	もと		⇔ 元，本，基
下	さ.げる		⇔ 提げる
下	お.ろす		⇔ 卸す，降ろす
下	お.りる		⇔ 降りる
火	ひ		⇔ 灯
花	はな		⇔ 華
価	あたい		⇔ 値
河	かわ		⇔ 川
架	か.ける		⇔ 掛ける，懸ける，賭ける
架	か.かる		⇔ 掛かる，懸かる
家	や		⇔ 屋
華	はな		⇔ 花
歌	うた		⇔ 唄
歌	うた.う		⇔ 謡う
回	まわ.る		⇔ 周り
会	あ.う		⇔ 合う，遭う
怪	あや.しい		⇔ 妖しい
開	あ.く		⇔ 空く，明く
開	あ.ける		⇔ 空ける，明ける
解	と.く		⇔ 溶く
解	と.かす		⇔ 溶かす
解	と.ける		⇔ 溶ける
外	ほか		⇔ 他
街	まち		⇔ 町
各	おのおの		「各々」とも書く。
革	かわ		⇔ 皮
獲	え.る		⇔ 得る
掛	か.ける		⇔ 懸ける，架ける，賭ける
掛	か.かる		⇔ 係る，懸かる，架かる
掛	かかり		⇔ 係
渇	かわ.く		⇔ 乾く
割	さ.く		⇔ 裂く
乾	かわ.く		⇔ 渇く
患	わずら.う		⇔ 煩う
堪	カン		「堪能」は，「タンノウ」とも。
堪	た.える		⇔ 耐える
換	か.える		⇔ 代える，替える，変える
換	か.わる		⇔ 代わる，替わる，変わる
勧	すす.める		⇔ 進める，薦める
丸	まる.い		⇔ 円い
起	お.こる		⇔ 興る
起	お.こす		⇔ 興す
帰	かえ.る		⇔ 返る
帰	かえ.す		⇔ 返す
基	もと		⇔ 下，元，本
貴	たっと.い		⇔ 尊い
貴	とうと.い		⇔ 尊い
貴	たっと.ぶ		⇔ 尊ぶ
貴	とうと.ぶ		⇔ 尊ぶ
技	わざ		⇔ 業
吉	キチ		「吉日」は，「キツジツ」とも。
脚	あし		⇔ 足
究	きわ.める		⇔ 窮める，極める
宮	ク	Y	「宮内庁」などと使う。
球	たま		⇔ 玉，弾
窮	きわ.める		⇔ 究める，極める
窮	きわ.まる		⇔ 極まる
挙	あ.げる		⇔ 上げる，揚げる
挙	あ.がる		⇔ 上がる，揚がる
漁	リョウ		「猟」の字音の転用。
京	ケイ		「京浜」，「京阪」などと使う。
供	そな.える		⇔ 備える
恐	おそ.れる		⇔ 畏れる
業	わざ		⇔ 技
極	きわ.める		⇔ 究める，窮める
極	きわ.まる		⇔ 窮まる
玉	たま		⇔ 球，弾
勤	つと.める		⇔ 努める，務める
勤	つと.まる		⇔ 務まる
謹	つつし.む		⇔ 慎む
空	あ.く		⇔ 開く，明く
空	あ.ける		⇔ 開ける，明ける
薫	かお.る		⇔ 香る
兄	キョウ	Y	「兄弟」は，「ケイテイ」と読むこともある。
形	かた		⇔ 型
係	かか.る		⇔ 掛かる
係	かかり		⇔ 掛
型	かた		⇔ 形
計	はか.る		⇔ 測る，量る，図る，謀る
継	つ.ぐ		⇔ 接ぐ，次ぐ
隙	すき		「隙間」は，「透き間」とも書く。
撃	う.つ		⇔ 打つ，討つ
見	み.る		⇔ 診る
建	た.てる		⇔ 立てる
建	た.つ		⇔ 立つ
堅	かた.い		⇔ 硬い，固い
遣	つか.う		⇔ 使う
懸	か.ける		⇔ 掛ける，架ける，賭ける
懸	か.かる		⇔ 掛かる，架かる
元	もと		⇔ 下，本，基
現	あらわ.れる		⇔ 表れる
現	あらわ.す		⇔ 表す，著す
固	かた.い		⇔ 堅い，硬い
顧	かえり.みる		⇔ 省みる
後	あと		⇔ 跡，痕
後	おく.れる		⇔ 遅れる
甲	カン		「甲板」は，「コウハン」とも。
交	ま.じる		⇔ 混じる
交	ま.ざる		⇔ 混ざる
交	ま.ぜる		⇔ 混ぜる
行	い.く		⇔ 逝く
行	ゆ.く		⇔ 逝く
効	き.く		⇔ 利く
皇	オウ		「天皇」は，「テンノウ」。
荒	あら.い		⇔ 粗い
香	かお.り		⇔ 薫り
香	かお.る		⇔ 薫る
降	お.りる		⇔ 下りる
降	お.ろす		⇔ 下ろす，卸す
硬	かた.い		⇔ 堅い，固い
絞	しぼ.る		⇔ 搾る
絞	し.める		⇔ 締める
絞	し.まる		⇔ 締まる
興	おこ.る		⇔ 起こる
興	おこ.す		⇔ 起こす
乞	こ.う		⇔ 請う
合	ガッ		「合点」は，「ガテン」とも。
合	あ.う		⇔ 会う，遭う
合	あ.わせる		⇔ 併せる
込	こ.む		⇔ 混む
昆	コン		「昆布」は，「コブ」とも。
混	ま.じる		⇔ 交じる
混	ま.ざる		⇔ 交ざる
混	ま.ぜる		⇔ 交ぜる
混	こ.む		⇔ 込む
混	こ.む		「混み合う」，「人混み」は，「込み合う」，「人込み」とも書く。
痕	あと		⇔ 跡，後
紺	コン		「紺屋」は，「コウや」とも。
差	さ.す		⇔ 刺す，指す，挿す
座	すわ.る		⇔ 据わる
採	と.る		⇔ 取る，執る，捕る
裁	た.つ		⇔ 断つ，絶つ
載	の.せる		⇔ 乗せる
載	の.る		⇔ 乗る
在	あ.る		⇔ 有る
作	つく.る		⇔ 造る，創る
搾	しぼ.る		⇔ 絞る
産	う.む		⇔ 生む
産	う.まれる		⇔ 生まれる
斬	き.る		⇔ 切る
止	と.まる		⇔ 留まる，泊まる
止	と.める		⇔ 留める，泊める
使	つか.う		⇔ 遣う
刺	さ.す		⇔ 差す，指す，挿す
始	はじ.める		⇔ 初め，初めて
指	さ.す		⇔ 差す，刺す，挿す
脂	あぶら		⇔ 油
詩	シ		「詩歌」は，「シイカ」とも。
次	つ.ぐ		⇔ 継ぐ
治	おさ.める		⇔ 修める
治	おさ.まる		⇔ 修まる
治	なお.る		⇔ 直る
治	なお.す		⇔ 直す
七	なの	Y	「七日」は，「なぬか」とも。
執	と.る		⇔ 取る，採る
写	うつ.す		⇔ 映す
写	うつ.る		⇔ 映る
若	ニャク	Y	「老若」は，「ロウジャク」とも。
寂	セキ	Y	「寂然」は，「ジャクネン」とも。
主	ス	Y	「法主（ホッス）」は，「ホウシュ」，「ホッシュ」とも。
取	と.る		⇔ 採る，執る，捕る
受	う.ける		⇔ 請ける
収	おさ.める		⇔ 納める
収	おさ.まる		⇔ 納まる
舟	ふね		⇔ 船
周	まわ.り		⇔ 回り
臭	にお.う		⇔ 匂う
修	おさ.める		⇔ 治める
修	おさ.まる		⇔ 治まる
習	なら.う		⇔ 倣う
就	つ.く		⇔ 着く，付く
就	つ.ける		⇔ 着ける，付ける
愁	うれ.える		⇔ 憂える
愁	うれ.い		⇔ 憂い
十	ジッ		「ジュッ」とも。
充	あ.てる		⇔ 当てる，宛てる
柔	やわ.らか		⇔ 軟らか
柔	やわ.らかい		⇔ 軟らかい
初	はじ.め		⇔ 始め
書	か.く		⇔ 描く
暑	あつ.い		⇔ 熱い
緒	チョ	Y	「情緒」は，「ジョウショ」とも。
昇	のぼ.る		⇔ 上る，登る
傷	いた.む		⇔ 痛む，悼む
傷	いた.める		⇔ 痛める
憧	ショウ		「憧憬」は，「ドウケイ」とも。
上	ショウ	Y	「身上」は，「シンショウ」と「シンジョウ」とで，意味が違う。
上	あ.げる		⇔ 揚げる，挙げる
上	あ.がる		⇔ 揚がる，挙がる
上	のぼ.る		⇔ 昇る，登る
乗	の.る		⇔ 載る
乗	の.せる		⇔ 載せる
殖	ふ.える		⇔ 増える
殖	ふ.やす		⇔ 増やす
伸	の.びる		⇔ 延びる
伸	の.ばす		⇔ 延ばす
伸	の.べる		⇔ 延べる
侵	おか.す		⇔ 犯す，冒す
振	ふ.るう		⇔ 奮う，震う
進	すす.める		⇔ 勧める，薦める
診	み.る		⇔ 見る
慎	つつし.む		⇔ 謹む
震	ふる.う		⇔ 奮う，振るう
尋	たず.ねる		⇔ 訪ねる
腎	ジン		「肝腎」は，「肝心」とも書く。
図	はか.る		⇔ 計る，測る，量る，謀る
吹	ふ.く		⇔ 噴く
推	お.す		⇔ 押す
数	かず		「人数」は，「ニンズウ」とも。
据	す.わる		⇔ 座る
生	う.まれる		⇔ 産まれる
生	う.む		⇔ 産む
省	かえり.みる		⇔ 顧みる
逝	ゆ.く		⇔ 行く
逝	い.く		⇔ 行く
静	しず.まる		⇔ 鎮まる
静	しず.める		⇔ 鎮める，沈める
請	こ.う		⇔ 乞う
請	う.ける		⇔ 受ける
整	ととの.える		⇔ 調える
整	ととの.う		⇔ 調う
跡	あと		⇔後，痕
切	き.る		⇔ 斬る
接	つ.ぐ		⇔ 継ぐ
絶	た.つ		⇔ 裁つ，断つ
川	かわ		⇔ 河
船	ふね		⇔ 舟
戦	たたか.う		⇔ 闘う
薦	すす.める		⇔ 進める，勧める
善	よ.い		⇔ 良い
粗	あら.い		⇔ 荒い
双	ふた		⇔ 二
早	はや.い		⇔ 速い
早	はや.まる		⇔ 速まる
早	はや.める		⇔ 速める
送	おく.る		⇔ 贈る
倉	くら		⇔ 蔵
捜	さが.す		⇔ 探す
挿	さ.す		⇔ 差す，刺す，指す
創	つく.る		⇔ 作る，造る
遭	あ.う		⇔ 合う，会う
造	つく.る		⇔ 作る，創る
増	ふ.える		⇔ 殖える
