Kanji	Reading	Romaji	Type	Uncommon?	Variation of
亜	ア	A	On		
哀	アイ	AI	On		
哀	あわ.れ	awa.re	Kun		
哀	あわ.れむ	awa.remu	Kun		
挨	アイ	AI	On		
愛	アイ	AI	On		
曖	アイ	AI	On		
悪	アク	AKU	On		
悪	オ	O	On		
悪	わる.い	waru.i	Kun		
握	アク	AKU	On		
握	にぎ.る	nigi.ru	Kun		
圧	アツ	ATSU	On		
扱	あつか.う	atsuka.u	Kun		
宛	あて.る	ate.ru	Kun		
宛	あ.てる	a.teru	Kun		
嵐	あらし	arashi	Kun		
安	アン	AN	On		
安	やす.い	yasu.i	Kun		
案	アン	AN	On		
暗	アン	AN	On		
暗	くら.い	kura.i	Kun		
以	イ	I	On		
衣	イ	I	On		
衣	ころも	koromo	Kun		
位	イ	I	On		
位	くらい	kurai	Kun		
囲	イ	I	On		
囲	かこ.む	kako.mu	Kun		
囲	かこ.う	kako.u	Kun		
医	イ	I	On		
依	イ	I	On		
依	エ	E	On	Y	
委	イ	I	On		
委	ゆだ.ねる	yuda.neru	Kun		
威	イ	I	On		
為	イ	I	On		
畏	イ	I	On		
畏	おそ.れる	oso.reru	Kun		
胃	イ	I	On		
尉	イ	I	On		
異	イ	I	On		
異	こと	koto	Kun		
移	イ	I	On		
移	うつ.る	utsu.ru	Kun		
移	うつ.す	utsu.su	Kun		
萎	イ	I	On		
萎	な.える	na.eru	Kun		
偉	イ	I	On		
偉	えら.い	era.i	Kun		
椅	イ	I	On		
彙	イ	I	On		
意	イ	I	On		
違	イ	I	On		
違	ちが.う	chiga.u	Kun		
違	ちが.える	chiga.eru	Kun		
維	イ	I	On		
慰	イ	I	On		
慰	なぐさ.める	nagusa.meru	Kun		
慰	なぐさ.む	nagusa.mu	Kun		
遺	イ	I	On		
遺	ユイ	YUI	On	Y	
緯	イ	I	On		
域	イキ	IKI	On		
育	イク	IKU	On		
育	そだ.つ	soda.tsu	Kun		
育	そだ.てる	soda.teru	Kun		
育	はぐく.む	haguku.mu	Kun		
一	イチ	ICHI	On		
一	イツ	ITSU	On		
一	ひと	hito	Kun		
一	ひと.つ	hito.tsu	Kun		
壱	イチ	ICHI	On		
逸	イツ	ITSU	On		
茨	いばら	ibara	Kun	Y	
芋	いも	imo	Kun		
引	イン	IN	On		
引	ひ.く	hi.ku	Kun		
引	ひ.ける	hi.keru	Kun		
印	イン	IN	On		
印	しるし	shirushi	Kun		
因	イン	IN	On		
因	よ.る	yo.ru	Kun		
咽	イン	IN	On		
姻	イン	IN	On		
員	イン	IN	On		
院	イン	IN	On		
淫	イン	IN	On		
淫	みだ.ら	mida.ra	Kun		
陰	イン	IN	On		
陰	かげ	kage	Kun		
陰	かげ.る	kage.ru	Kun		
飲	イン	IN	On		
飲	の.む	no.mu	Kun		
隠	イン	IN	On		
隠	かく.す	kaku.su	Kun		
隠	かく.れる	kaku.reru	Kun		
韻	イン	IN	On		
右	ウ	U	On		
右	ユウ	YUU	On		
右	みぎ	migi	Kun		
宇	ウ	U	On		
羽	ウ	U	On		
羽	わ	wa	Kun		は
羽	ば	ba	Kun		は
羽	ぱ	pa	Kun		は
羽	は	ha	Kun		
羽	はね	hane	Kun		
雨	ウ	U	On		
雨	あめ	ame	Kun		
雨	あま	ama	Kun	Y	
唄	うた	uta	Kun	Y	
鬱	ウツ	UTSU	On		
畝	うね	une	Kun		
浦	うら	ura	Kun		
運	ウン	UN	On		
運	はこ.ぶ	hako.bu	Kun		
雲	ウン	UN	On		
雲	くも	kumo	Kun		
永	エイ	EI	On		
永	なが.い	naga.i	Kun		
泳	エイ	EI	On		
泳	およ.ぐ	oyo.gu	Kun		
英	エイ	EI	On		
映	エイ	EI	On		
映	うつ.る	utsu.ru	Kun		
映	うつ.す	utsu.su	Kun		
映	は.える	ha.eru	Kun		
栄	エイ	EI	On		
栄	さか.える	saka.eru	Kun		
栄	は.え	ha.e	Kun		
栄	は.える	ha.eru	Kun		
営	エイ	EI	On		
営	いとな.む	itona.mu	Kun		
詠	エイ	EI	On		
詠	よ.む	yo.mu	Kun		
影	エイ	EI	On		
影	かげ	kage	Kun		
鋭	エイ	EI	On		
鋭	するど.い	surudo.i	Kun		
衛	エイ	EI	On		
易	エキ	EKI	On		
易	イ	I	On		
易	やさ.しい	yasa.shii	Kun		
疫	エキ	EKI	On		
疫	ヤク	YAKU	On	Y	
益	エキ	EKI	On		
益	ヤク	YAKU	On	Y	
液	エキ	EKI	On		
駅	エキ	EKI	On		
悦	エツ	ETSU	On		
越	エツ	ETSU	On		
越	こ.す	ko.su	Kun		
越	こ.える	ko.eru	Kun		
謁	エツ	ETSU	On		
閲	エツ	ETSU	On		
円	エン	EN	On		
円	まる.い	maru.i	Kun		
延	エン	EN	On		
延	の.びる	no.biru	Kun		
延	の.べる	no.beru	Kun		
延	の.ばす	no.basu	Kun		
沿	エン	EN	On		
沿	そ.う	so.u	Kun		
炎	エン	EN	On		
炎	ほのお	honoo	Kun		
怨	エン	EN	On		
怨	オン	ON	On		
宴	エン	EN	On		
媛	エン	EN	On		
援	エン	EN	On		
園	エン	EN	On		
園	その	sono	Kun		
煙	エン	EN	On		
煙	けむ.る	kemu.ru	Kun		
煙	けむり	kemuri	Kun		
煙	けむ.い	kemu.i	Kun		
猿	エン	EN	On		
猿	さる	saru	Kun		
遠	エン	EN	On		
遠	オン	ON	On	Y	
遠	とお.い	too.i	Kun		
鉛	エン	EN	On		
鉛	なまり	namari	Kun		
塩	エン	EN	On		
塩	しお	shio	Kun		
演	エン	EN	On		
縁	エン	EN	On		
縁	ふち	fuchi	Kun		
艶	エン	EN	On		
艶	つや	tsuya	Kun		
汚	オ	O	On		
汚	けが.す	kega.su	Kun		
汚	けが.れる	kega.reru	Kun		
汚	けが.らわしい	kega.rawashii	Kun		
汚	よご.す	yogo.su	Kun		
汚	よご.れる	yogo.reru	Kun		
汚	きたな.い	kitana.i	Kun		
王	オウ	OU	On		
凹	オウ	OU	On		
央	オウ	OU	On		
応	オウ	OU	On		
応	こた.える	kota.eru	Kun		
往	オウ	OU	On		
押	オウ	OU	On		
押	お.す	o.su	Kun		
押	お.さえる	o.saeru	Kun		
旺	オウ	OU	On		
欧	オウ	OU	On		
殴	オウ	OU	On		
殴	なぐ.る	nagu.ru	Kun		
桜	オウ	OU	On		
桜	さくら	sakura	Kun		
翁	オウ	OU	On		
奥	オウ	OU	On		
奥	おく	oku	Kun		
横	オウ	OU	On		
横	よこ	yoko	Kun		
岡	おか	oka	Kun	Y	
屋	オク	OKU	On		
屋	や	ya	Kun		
億	オク	OKU	On		
憶	オク	OKU	On		
臆	オク	OKU	On		
虞	おそれ	osore	Kun		
乙	オツ	OTSU	On		
俺	おれ	ore	Kun		
卸	おろ.す	oro.su	Kun		
卸	おろし	oroshi	Kun		
音	オン	ON	On		
音	イン	IN	On		
音	おと	oto	Kun		
音	ね	ne	Kun		
恩	オン	ON	On		
温	オン	ON	On		
温	あたた.か	atata.ka	Kun		
温	あたた.かい	atata.kai	Kun		
温	あたた.まる	atata.maru	Kun		
温	あたた.める	atata.meru	Kun		
穏	オン	ON	On		
穏	おだ.やか	oda.yaka	Kun		
下	カ	KA	On		
下	ゲ	GE	On		
下	した	shita	Kun		
下	しも	shimo	Kun		
下	もと	moto	Kun		
下	さ.げる	sa.geru	Kun		
下	さ.がる	sa.garu	Kun		
下	くだ.る	kuda.ru	Kun		
下	くだ.す	kuda.su	Kun		
下	くだ.さる	kuda.saru	Kun		
下	お.ろす	o.rosu	Kun		
下	お.りる	o.riru	Kun		
化	カ	KA	On		
化	ケ	KE	On		
化	ば.ける	ba.keru	Kun		
化	ば.かす	ba.kasu	Kun		
火	カ	KA	On		
火	ひ	hi	Kun		
火	ほ	ho	Kun	Y	
加	カ	KA	On		
加	くわ.える	kuwa.eru	Kun		
加	くわ.わる	kuwa.waru	Kun		
可	カ	KA	On		
仮	カ	KA	On		
仮	ケ	KE	On	Y	
仮	かり	kari	Kun		
何	カ	KA	On		
何	なに	nani	Kun		
何	なん	nan	Kun	Y	
花	カ	KA	On		
花	はな	hana	Kun		
佳	カ	KA	On		
